Year,TotalTDFDistance,Stage
1998,3875,Stage 12 : Tarascon-sur-Ariège > Cap d'Agde
1998,3875,Stage 16 : Vizille > Albertville
1999,3870,Prologue : Puy-du-Fou > Puy-du-Fou
1999,3870,Stage 1 : Montaigu > Challans
1999,3870,Stage 2 : Challans > Saint Nazaire
1999,3870,Stage 3 : Nantes > Laval
1999,3870,Stage 4 : Laval > Blois
1999,3870,Stage 5 : Bonneval > Amiens
1999,3870,Stage 6 : Amiens > Maubeuge
1999,3870,Stage 7 : Avesnes-sur-Helpe > Thionville
1999,3870,Stage 8 : Metz > Metz
1999,3870,Stage 9 : le_grand_bornand > Sestrières
1999,3870,Stage 10 : Sestrières > L'Alpe-d'Huez
1999,3870,Stage 12 : Saint-Galmier > Saint-Flour
1999,3870,Stage 20 : Arpajon > Paris
1999,3870,Stage 19 : Futuroscope > Futuroscope
1999,3870,Stage 18 : Jonzac > Futuroscope
1999,3870,Stage 17 : Mourenx > Bordeaux
1999,3870,Stage 11 : Bourg-d'Oisans > Saint-Etienne
1999,3870,Stage 15 : Saint Gaudens > Piau-Engaly
1999,3870,Stage 14 : Castres > Saint Gaudens
1999,3870,Stage 13 : Saint-Flour > Albi
1999,3870,Stage 16 : Lannemezan > Pau
2000,3662,Stage 9 : Agen > Dax
2000,3662,Stage 2 : Futuroscope > Loudun
2000,3662,Stage 3 : Loudun > Nantes
2000,3662,Stage 4 : Nantes > Saint Nazaire
2000,3662,Stage 5 : Vannes > Vitré
2000,3662,Stage 6 : Vitré > Tours
2000,3662,Stage 7 : Tours > Limoges
2000,3662,Stage 8 : Limoges > Villeneuve sur Lot
2000,3662,Stage 1 : Futuroscope > Futuroscope
2000,3662,Stage 10 : Dax > Hautacam
2000,3662,Stage 12 : Carpentras > Mont Ventoux
2000,3662,Stage 13 : Avignon > Draguignan
2000,3662,Stage 14 : Draguignan > Briançon
2000,3662,Stage 15 : Briançon > Courchevel
2000,3662,Stage 16 : Courchevel > Morzine
2000,3662,Stage 17 : Evian-les-Bains > Lausanne
2000,3662,Stage 18 : Lausanne > Fribourg-en-Brisgau
2000,3662,Stage 19 : Fribourg-en-Brisgau > Mulhouse
2000,3662,Stage 20 : Belfort > Troyes
2000,3662,Stage 21 : Paris > Champs-Elysées
2000,3662,Stage 11 : Bagnères-de-Bigorre > Revel
2001,3458,Stage 7 : Strasbourg > Colmar
2001,3458,Stage 6 : Commercy > Strasbourg
2001,3458,Stage 5 : Verdun > Bar-Le-Duc
2001,3458,Stage 4 : Huy > Verdun
2001,3458,Stage 8 : Colmar > Pontarlier
2001,3458,Stage 2 : Calais > Anvers
2001,3458,Stage 1 : Saint-Omer > Boulogne-sur-Mer
2001,3458,Prologue : Dunkerque > Dunkerque
2001,3458,Stage 3 : Anvers > Seraing
2001,3458,Stage 9 : Pontarlier > Aix-les-Bains
2001,3458,Stage 11 : Grenoble > Chamrousse
2001,3458,Stage 20 : Corbeil-Essonnes > Paris
2001,3458,Stage 19 : Orléans > Evry
2001,3458,Stage 18 : Montluçon > Saint-Amand-Montrond
2001,3458,Stage 17 : Brive-la-Gaillarde > Montluçon
2001,3458,Stage 16 : Castelsarrasin > Sarran
2001,3458,Stage 10 : Aix-les-Bains > L'Alpe-d'Huez
2001,3458,Stage 14 : Tarbes > Luz-Ardiden
2001,3458,Stage 13 : Foix > Saint-Lary-Soulan Col du Portet
2001,3458,Stage 12 : Perpignan > Ax-les-Thermes
2001,3458,Stage 15 : Pau > Lavaur
2002,3278,Stage 7 : Bagnoles-de-l'Orne > Avranches
2002,3278,Prologue : Luxembourg > Luxembourg
2002,3278,Stage 1 : Luxembourg > Luxembourg
2002,3278,Stage 2 : Luxembourg > Sarrebruck
2002,3278,Stage 3 : Metz > Reims
2002,3278,Stage 4 : Épernay > Château-Thierry
2002,3278,Stage 5 : Soissons > Rouen
2002,3278,Stage 6 : Forges-les-Eaux > Alençon
2002,3278,Stage 8 : Saint-Martin-de-Landelles > Plouay
2002,3278,Stage 9 : Lanester > Lorient
2002,3278,Stage 20 : Melun > Paris
2002,3278,Stage 11 : Pau > La Mongie
2002,3278,Stage 12 : Lannemezan > plateau_de_beille
2002,3278,Stage 13 : Lavelanet > Béziers
2002,3278,Stage 14 : Lodève > Mont Ventoux
2002,3278,Stage 15 : Vaison-la-Romaine > Les Deux Alpes
2002,3278,Stage 16 : Les Deux Alpes > La Plagne
2002,3278,Stage 17 : Aime > Cluses
2002,3278,Stage 18 : Cluses > Bourg-en-Bresse
2002,3278,Stage 19 : Regnier-Durette > Macon
2002,3278,Stage 10 : Bazas > Pau
2003,3427,Stage 7 : Lyon > Morzine
2003,3427,Stage 6 : Nevers > Lyon
2003,3427,Stage 5 : Troyes > Nevers
2003,3427,Stage 4 : Joinville > Saint-Dizier
2003,3427,Stage 8 : Sallanches > L'Alpe-d'Huez
2003,3427,Stage 2 : La Ferté-sous-Jouarre > Sedan
2003,3427,Stage 1 : Montgeron > Meaux
2003,3427,Prologue : Paris > Paris
2003,3427,Stage 3 : Charleville-Mézières > Saint-Dizier
2003,3427,Stage 9 : Bourg-d'Oisans > Gap
2003,3427,Stage 20 : Ville d'Avray > Paris
2003,3427,Stage 11 : Narbonne > Toulouse
2003,3427,Stage 12 : Gaillac > Cap Découverte
2003,3427,Stage 13 : Toulouse > Ax 3 Domaines
2003,3427,Stage 14 : Saint-Girons > loudenvielle_le_louron
2003,3427,Stage 15 : Bagnères-de-Bigorre > Luz-Ardiden
2003,3427,Stage 16 : Pau > Bayonne
2003,3427,Stage 17 : Dax > Bordeaux
2003,3427,Stage 18 : Bordeaux > Saint-Maixent-L'Ecole
2003,3427,Stage 19 : Pornic > Nantes
2003,3427,Stage 10 : Gap > Marseille
2004,3391,Stage 7 : Châteaubriant > Saint-Brieuc
2004,3391,Stage 6 : Bonneval > Angers
2004,3391,Stage 5 : Amiens > Chartres
2004,3391,Stage 8 : Lamballe > Quimper
2004,3391,Stage 3 : Waterloo > Wasquehal
2004,3391,Stage 1 : Liège > Charleroi
2004,3391,Prologue : Liège > Liège
2004,3391,Stage 4 : Cambrai > Arras Citadelle
2004,3391,Stage 9 : Saint-Léonard-de-Noblat > Guéret
2004,3391,Stage 2 : Charleroi > Namur
2004,3391,Stage 11 : Saint-Flour > Figeac
2004,3391,Stage 19 : Besançon > Besançon
2004,3391,Stage 18 : Annemasse > Lons-le-Saunier
2004,3391,Stage 10 : Limoges > Saint-Flour
2004,3391,Stage 17 : Bourg-d'Oisans > le_grand_bornand
2004,3391,Stage 20 : Montereau > Paris
2004,3391,Stage 15 : Valréas > Villard-de-Lans
2004,3391,Stage 14 : Carcassonne > Nimes
2004,3391,Stage 13 : Lannemezan > plateau_de_beille
2004,3391,Stage 12 : Castelsarrasin > La Mongie
2004,3391,Stage 16 : Bourg-d'Oisans > L'Alpe-d'Huez
2005,3593,Stage 9 : Gérardmer > Mulhouse
2005,3593,Stage 1 : Fromentine > Noirmoutier-en-l'Île
2005,3593,Stage 2 : Challans > Les Essarts
2005,3593,Stage 3 : La Châtaigneraie > Tours
2005,3593,Stage 4 : Tours > Blois
2005,3593,Stage 5 : Chambord > Montargis
2005,3593,Stage 6 : Troyes > Nancy
2005,3593,Stage 7 : Lunéville > Karlsruhe
2005,3593,Stage 8 : Pforzheim > Gérardmer
2005,3593,Stage 10 : Grenoble > Courchevel
2005,3593,Stage 21 : Corbeil-Essonnes > Paris
2005,3593,Stage 12 : Briançon > Digne-les-Bains
2005,3593,Stage 13 : Miramas > Montpellier
2005,3593,Stage 14 : Le Cap d'Agde > Ax 3 Domaines
2005,3593,Stage 15 : Lézat-sur-Leze > Saint-Lary-Soulan Col du Portet
2005,3593,Stage 16 : Mourenx > Pau
2005,3593,Stage 17 : Pau > Revel
2005,3593,Stage 18 : Albi > Mende
2005,3593,Stage 19 : Issoire > Le Puy-en-Velay
2005,3593,Stage 20 : Saint-Etienne > Saint-Etienne
2005,3593,Stage 11 : Courchevel > Briançon
2006,3657,Stage 7 : Saint-Grégoire > Rennes
